NumberRedirects,checkWHOIS_exists,isinAlexa,NumbLinkToDomain,indexbyGoogle,Domain,Have_@,URL_Length,Domain_Length,occurence_tirets,Redirection,Number_%,TinyURL,iFrame,MouseOver,label
0,0,0,0,1,ekl-net.com-asoeeees.mnnijd.top,0.0,42.0,31.0,1.0,5.0,1.0,1.0,1,1,1.0
0,132,0,0,1,angra.hatenablog.com,0.0,32.0,20.0,1.0,6.0,1.0,0.0,1,0,0.0
0,92,0,0,1,caspianglobalservices.com,0.0,49.0,25.0,1.0,5.0,1.0,0.0,1,0,1.0
0,248,0,0,1,technicalauthoring.com,0.0,34.0,22.0,1.0,6.0,1.0,0.0,1,1,0.0
0,129,0,1,1,parisbytheglass.com,0.0,31.0,19.0,1.0,6.0,1.0,0.0,0,1,0.0
0,147,0,0,1,fes-baltic.ee,0.0,25.0,13.0,2.0,6.0,1.0,0.0,1,0,0.0
1,0,0,0,1,geo.uni-tuebingen.de,0.0,32.0,20.0,2.0,6.0,1.0,0.0,0,1,0.0
0,80,0,0,1,amaara.org.in,0.0,25.0,13.0,1.0,6.0,1.0,0.0,1,0,0.0
0,79,0,0,1,fernandozozaya.com,0.0,30.0,18.0,1.0,6.0,1.0,0.0,1,1,0.0
1,0,0,0,0,au-pcccny.aueseasaomceoy.bpadlv.top,0.0,49.0,35.0,2.0,5.0,1.0,0.0,1,1,1.0
0,173,0,0,1,bit.ly,0.0,32.0,6.0,1.0,5.0,1.0,1.0,0,1,1.0
0,0,0,0,1,joomladayrio.com.br,0.0,31.0,19.0,1.0,6.0,1.0,0.0,1,0,0.0
1,65,0,0,1,thetapestry.co.uk,0.0,29.0,17.0,1.0,6.0,1.0,0.0,1,1,0.0
1,94,0,0,1,ftitc.com,0.0,30.0,9.0,1.0,6.0,1.0,0.0,1,1,1.0
0,0,0,0,1,cdex.netlify.app,0.0,23.0,16.0,1.0,5.0,1.0,0.0,1,1,1.0
1,67,0,0,1,bowlandclimber.com,0.0,30.0,18.0,1.0,6.0,1.0,0.0,0,1,0.0
1,0,0,0,1,au-poccy.aceeseacraocmeoy.lezzas.top,0.0,50.0,36.0,2.0,5.0,1.0,0.0,1,1,1.0
0,0,0,0,1,crestron.com.au,0.0,27.0,15.0,1.0,6.0,1.0,0.0,1,0,0.0
0,0,0,0,1,danal.jp,0.0,20.0,8.0,1.0,6.0,1.0,0.0,1,0,0.0
0,120,0,0,1,webgambit.com,0.0,25.0,13.0,1.0,6.0,1.0,1.0,1,0,0.0
0,76,0,0,1,data.triviasp.com.ar,0.0,32.0,20.0,1.0,6.0,1.0,0.0,1,0,0.0
0,0,0,0,1,1c736805-a8df-4bc8-9751-f6093569c6d9.id.repl.co,0.0,55.0,47.0,1.0,6.0,1.0,0.0,1,1,1.0
0,182,0,0,1,arcromdiamonds.ro,0.0,29.0,17.0,1.0,6.0,1.0,0.0,1,1,1.0
0,241,0,0,1,panela.blog-city.com,0.0,32.0,20.0,2.0,6.0,1.0,0.0,1,0,0.0
1,0,0,0,1,kaiserstuhlapotheke.de,0.0,34.0,22.0,1.0,6.0,1.0,0.0,0,1,0.0
0,67,0,0,1,brainpayroll.co.uk,0.0,30.0,18.0,1.0,6.0,1.0,0.0,0,1,0.0
1,0,0,0,1,rezultati.cik2009.bg,0.0,32.0,20.0,1.0,6.0,1.0,0.0,0,1,0.0
0,155,0,0,1,koh-kong-cambodia.com,0.0,33.0,21.0,1.0,6.0,1.0,0.0,1,1,0.0
0,10,0,0,1,ekl-net.conn-aocsccesas.xdtwpw.top,0.0,45.0,34.0,1.0,5.0,1.0,1.0,1,1,1.0
0,255,0,0,1,,,,,,,,,1,0,
1,0,0,0,1,tdathome.com.au,0.0,27.0,15.0,1.0,6.0,1.0,0.0,0,1,0.0
0,0,0,0,1,vzkzuzwegfymgnhzcgew.top,0.0,33.0,24.0,1.0,6.0,1.0,0.0,1,0,1.0
0,132,0,0,1,halestelevision.co.uk,0.0,88.0,21.0,1.0,5.0,1.0,0.0,1,1,1.0
0,31,0,0,1,storageapi.fleek.co,0.0,27.0,19.0,1.0,6.0,1.0,0.0,1,1,1.0
0,0,0,0,0,au-pany.aeuceaom.mwjpue.top,0.0,41.0,27.0,2.0,5.0,1.0,0.0,1,0,1.0
0,312,0,0,1,class.pedf.cuni.cz,0.0,30.0,18.0,1.0,6.0,1.0,0.0,1,0,0.0
0,197,0,0,1,bolly.sawfnews.com,0.0,30.0,18.0,1.0,6.0,1.0,0.0,1,0,0.0
0,31,0,0,1,storageapi.fleek.co,0.0,27.0,19.0,1.0,6.0,1.0,0.0,1,1,1.0
0,282,0,0,1,barksdale.oncell.com,0.0,32.0,20.0,1.0,6.0,1.0,0.0,1,0,0.0
0,0,0,0,1,births.cloudns.asia,0.0,37.0,19.0,1.0,5.0,1.0,0.0,1,0,1.0
1,136,0,0,1,serenadeofsouls.com,0.0,88.0,19.0,1.0,5.0,1.0,0.0,1,1,1.0
0,99,0,0,1,services.u7497943u9.ha004.t.justns.ru,0.0,45.0,37.0,1.0,5.0,1.0,0.0,1,0,1.0
0,9,0,0,1,au-paacny.aueccaaomceoy.mtuapp.top,0.0,48.0,34.0,2.0,5.0,1.0,0.0,1,0,1.0
0,301,0,0,1,drive.google.com,0.0,82.0,16.0,1.0,6.0,1.0,0.0,1,1,1.0
0,256,0,0,1,dvpg.net,0.0,20.0,8.0,1.0,6.0,1.0,0.0,1,0,0.0
0,0,0,0,1,haveageekasm.com,0.0,28.0,16.0,1.0,6.0,1.0,0.0,1,0,0.0
0,163,0,0,1,revistamasseguridad.com.mx,0.0,38.0,26.0,1.0,6.0,1.0,0.0,1,1,0.0
0,0,0,0,1,lazyjack.co.jp,0.0,26.0,14.0,1.0,6.0,1.0,0.0,1,0,0.0
1,301,0,2,1,drive.google.com,0.0,82.0,16.0,1.0,6.0,1.0,0.0,0,1,1.0
0,0,0,20,1,alte-rebschule.de,0.0,29.0,17.0,2.0,6.0,1.0,0.0,0,1,0.0
0,0,0,0,1,reinesfreiland-media.de,0.0,35.0,23.0,2.0,6.0,1.0,0.0,1,0,0.0
0,0,0,0,1,au-paaccy.aeeucaoaomceoy.lgjkee.top,0.0,49.0,35.0,2.0,5.0,1.0,0.0,1,0,1.0
0,265,0,0,1,fargenamps.com,0.0,26.0,14.0,1.0,6.0,1.0,0.0,1,0,0.0
0,114,0,0,1,dreamlandcreativeprojects.com,0.0,41.0,29.0,1.0,6.0,1.0,0.0,0,1,0.0
0,0,0,0,1,mlcrosoft-0nedrive-portal.el.r.appspot.com,0.0,59.0,42.0,1.0,5.0,1.0,1.0,1,1,1.0
0,14,0,0,1,envicom.nl,0.0,63.0,10.0,2.0,6.0,1.0,0.0,1,0,1.0
0,290,0,0,1,measat.com,0.0,22.0,10.0,1.0,6.0,1.0,1.0,1,0,0.0
0,281,0,0,1,bolz-summix.com,0.0,27.0,15.0,2.0,6.0,1.0,1.0,1,0,0.0
1,87,0,0,1,zagslife.com,0.0,24.0,12.0,1.0,6.0,1.0,0.0,0,1,0.0
0,188,0,0,1,forums.zentoolworks.com,0.0,35.0,23.0,1.0,6.0,1.0,0.0,1,0,0.0
0,10,0,0,1,riblanda.com,0.0,88.0,12.0,1.0,5.0,1.0,0.0,1,1,1.0
0,265,0,20,1,e-desinews.com,0.0,26.0,14.0,2.0,6.0,1.0,0.0,0,1,0.0
0,236,0,0,1,xiac.com,0.0,20.0,8.0,1.0,6.0,1.0,0.0,1,0,0.0
0,0,0,0,1,eki-net.con-aescosesa.futgud.top,0.0,43.0,32.0,1.0,5.0,1.0,1.0,1,1,1.0
1,0,0,0,1,marineatlas.be,0.0,26.0,14.0,1.0,6.0,1.0,0.0,0,1,0.0
0,9,0,0,1,au-paaccy.aueccaaomceoy.gsqzpy.top,0.0,48.0,34.0,2.0,5.0,1.0,0.0,1,0,1.0
0,304,0,0,1,clonemaster.homestead.com,0.0,37.0,25.0,1.0,6.0,1.0,0.0,1,0,0.0
0,349,0,0,1,mig35.tass.com,0.0,26.0,14.0,1.0,6.0,1.0,0.0,1,0,0.0
0,91,0,16,1,borgosancristoforo.it,0.0,33.0,21.0,1.0,6.0,1.0,0.0,0,1,0.0
0,31,0,0,1,storageapi.fleek.co,0.0,27.0,19.0,1.0,6.0,1.0,0.0,1,1,1.0
0,194,0,1,1,kingcanary.nl,0.0,25.0,13.0,1.0,6.0,1.0,0.0,0,1,0.0
1,94,0,0,1,weddingsbyknottydays.com,0.0,38.0,24.0,1.0,5.0,1.0,0.0,1,1,1.0
0,9,0,0,1,vivcevasvai.vicsvesai.wztqb7.icu,0.0,43.0,32.0,1.0,5.0,1.0,0.0,1,1,1.0
0,81,0,0,1,303e7a2d-afff-43d6-9bc2-a1c9f810d0b1.htmlcomponentservice.com,0.0,100.0,50.0,1.0,6.0,1.0,0.0,1,1,1.0
0,236,0,0,1,erc.com.na,0.0,22.0,10.0,1.0,6.0,1.0,0.0,1,0,0.0
1,0,0,9,1,aquanity.co.il,0.0,41.0,14.0,1.0,5.0,1.0,0.0,1,0,1.0
0,246,0,0,1,pakistan.asia-news.com,0.0,34.0,22.0,2.0,6.0,1.0,0.0,1,0,0.0
1,0,0,0,1,ozziedeals.com.au,0.0,100.0,17.0,1.0,5.0,1.0,0.0,1,1,1.0
1,0,0,0,1,au-poccy.aceeseacraocmeoy.ekijve.top,0.0,50.0,36.0,2.0,5.0,1.0,0.0,1,1,1.0
0,0,0,0,1,201.163.98.162,0.0,91.0,14.0,1.0,5.0,1.0,0.0,1,0,1.0
0,30,0,0,1,churchtechnologysuperstore.com,0.0,42.0,30.0,1.0,6.0,1.0,0.0,1,0,0.0
0,31,0,0,1,storageapi.fleek.co,0.0,27.0,19.0,1.0,6.0,1.0,0.0,1,1,1.0
0,158,0,0,1,oceandrivemiamibeach.com,0.0,36.0,24.0,1.0,6.0,1.0,0.0,1,1,0.0
0,0,0,0,1,gettinghelpwithmyparcel-usps.com,0.0,40.0,32.0,2.0,6.0,1.0,0.0,1,0,1.0
1,183,0,0,1,pracadarepublicaembeja.net,0.0,41.0,26.0,1.0,5.0,1.0,0.0,1,1,1.0
1,0,0,0,1,opendataportal.at,0.0,29.0,17.0,1.0,6.0,1.0,0.0,0,1,0.0
0,150,0,0,1,zachjohnsongolf.com,0.0,31.0,19.0,1.0,6.0,1.0,0.0,0,1,0.0
0,0,0,0,1,ekl-net.com-asoeeees.xfkkfe.top,0.0,42.0,31.0,1.0,5.0,1.0,1.0,1,1,1.0
0,180,0,0,1,ronnieswietek.com,0.0,29.0,17.0,1.0,6.0,1.0,0.0,1,0,0.0
0,19,0,0,1,backcountry-colorado-yurt.com,0.0,41.0,29.0,1.0,6.0,1.0,1.0,1,0,0.0
0,102,0,0,1,umpalangkaraya.ac.id,0.0,89.0,20.0,2.0,5.0,1.0,0.0,1,1,1.0
0,0,0,0,1,10ideiasdenegocios1.tonidicoimbra.club,0.0,46.0,38.0,1.0,5.0,1.0,0.0,1,0,1.0
0,9,0,0,0,au-poccy.aeueseaoaomceoy.nvwszn.top,0.0,49.0,35.0,2.0,5.0,1.0,0.0,1,0,1.0
0,6,0,0,1,nike-airvapormax.com,0.0,32.0,20.0,2.0,6.0,1.0,1.0,1,0,0.0
0,57,0,0,1,ginzawi.com,0.0,23.0,11.0,1.0,6.0,1.0,0.0,0,1,0.0
0,150,0,0,1,tourismroatan.com,0.0,29.0,17.0,1.0,6.0,1.0,0.0,0,1,0.0
1,24,0,0,1,kayo.pl,0.0,100.0,7.0,2.0,5.0,1.0,0.0,0,1,1.0
1,108,0,0,1,carolinakitchenbbq.com,0.0,34.0,22.0,1.0,6.0,1.0,0.0,0,1,0.0
0,39,0,0,1,hibiscusmonkey.com,0.0,30.0,18.0,1.0,6.0,1.0,0.0,0,1,0.0
0,10,0,0,1,eki-net.con-aesceeeeesas.wplaog.top,0.0,46.0,35.0,1.0,5.0,1.0,1.0,1,1,1.0
0,98,0,0,1,tastyeverafter.com,0.0,30.0,18.0,1.0,6.0,1.0,0.0,0,1,0.0
0,0,0,0,0,au-paaoy.auccaom.suszyk.top,0.0,41.0,27.0,2.0,5.0,1.0,0.0,1,0,1.0
1,237,0,0,1,fishincompany.com,0.0,29.0,17.0,1.0,6.0,1.0,0.0,0,1,0.0
0,0,0,0,1,imisammo.com,0.0,24.0,12.0,1.0,6.0,1.0,0.0,1,0,0.0
0,5,0,20,1,crdp-ks.org,0.0,23.0,11.0,2.0,6.0,1.0,0.0,0,1,0.0
0,15,0,20,1,zazpistm.com,0.0,24.0,12.0,1.0,6.0,1.0,0.0,0,1,0.0
0,0,0,0,1,ekl-net.conn-aoscceo.yjhdyu.top,0.0,42.0,31.0,1.0,5.0,1.0,1.0,1,1,1.0
0,213,0,20,1,agriporta7.nl,0.0,25.0,13.0,1.0,6.0,1.0,0.0,0,1,0.0
0,0,0,0,1,cmplus.com.au,0.0,25.0,13.0,1.0,6.0,1.0,0.0,0,1,0.0
1,101,0,0,1,besidesthescreen.com,0.0,32.0,20.0,1.0,6.0,1.0,0.0,0,1,0.0
0,64,1,0,1,techresearchonline.com,0.0,34.0,22.0,1.0,6.0,1.0,0.0,1,0,0.0
0,112,0,0,1,maine.pmpaware.net,0.0,30.0,18.0,1.0,6.0,1.0,0.0,1,0,0.0
0,0,0,0,1,patuvol.mydns.jp,0.0,28.0,16.0,1.0,6.0,1.0,0.0,1,0,0.0
1,56,0,0,1,southendnewsnetwork.net,0.0,35.0,23.0,1.0,6.0,1.0,0.0,0,1,0.0
0,0,0,0,1,g102d3e13e313e1.com,0.0,29.0,19.0,1.0,5.0,1.0,0.0,1,0,1.0
0,0,0,0,1,izzylogz.nn.r.appspot.com,0.0,43.0,25.0,1.0,6.0,1.0,1.0,1,1,1.0
0,193,0,0,1,alternative-dictionaries.net,0.0,40.0,28.0,2.0,6.0,1.0,0.0,1,1,0.0
0,11,0,0,1,au-payccoy.aseacaameoy.gruc.top,0.0,45.0,31.0,2.0,5.0,1.0,0.0,1,0,1.0
0,173,0,0,1,floatsolutions.com,0.0,30.0,18.0,1.0,6.0,1.0,0.0,1,0,0.0
0,241,0,0,1,inp.bsu.by,0.0,22.0,10.0,1.0,6.0,1.0,0.0,1,0,0.0
1,0,0,0,1,kk-misumi.jp,0.0,24.0,12.0,2.0,6.0,1.0,0.0,0,1,0.0
0,61,1,1,1,bigtimer.net,0.0,24.0,12.0,1.0,6.0,1.0,0.0,0,1,0.0
0,0,0,0,1,ng.openmicspace.com,1.0,100.0,19.0,1.0,5.0,1.0,0.0,1,0,1.0
0,23,0,0,1,franquinjijecreateursde.afterlivre.com,0.0,69.0,38.0,1.0,5.0,1.0,0.0,0,1,1.0
0,7,0,0,1,thrusites.com,0.0,25.0,13.0,1.0,6.0,1.0,0.0,1,0,0.0
1,52,0,20,1,citrulline.fr,0.0,100.0,13.0,1.0,6.0,1.0,0.0,0,1,1.0
0,307,0,0,1,wewood.com,0.0,22.0,10.0,1.0,6.0,1.0,0.0,1,1,0.0
1,231,0,0,1,top-one-uk.com,0.0,26.0,14.0,1.0,6.0,1.0,0.0,0,1,0.0
0,18,0,0,1,mail.thepoint.nl,0.0,52.0,16.0,2.0,5.0,1.0,0.0,1,0,1.0
1,0,0,0,1,betasussgir.blogspot.com,0.0,31.0,24.0,1.0,5.0,1.0,1.0,0,1,1.0
0,219,0,0,1,samcool.org,0.0,75.0,11.0,1.0,5.0,2.0,0.0,1,1,1.0
0,135,0,0,1,kgccapital.com,0.0,26.0,14.0,1.0,6.0,1.0,0.0,1,1,0.0
0,218,0,0,1,fcvalls.org,0.0,23.0,11.0,1.0,6.0,1.0,0.0,1,1,0.0
0,0,0,0,0,docs.google.com,0.0,33.0,15.0,1.0,6.0,1.0,0.0,1,1,1.0
0,9,0,0,0,au-paocy.aeueccaaomceoy.egcbfr.top,0.0,48.0,34.0,2.0,5.0,1.0,0.0,1,0,1.0
1,87,0,0,1,geistblog.org,0.0,25.0,13.0,1.0,6.0,1.0,0.0,0,1,0.0
0,228,0,0,1,ybmallinall.com,0.0,27.0,15.0,1.0,6.0,1.0,0.0,0,1,0.0
0,0,0,0,1,nist.edu,0.0,20.0,8.0,1.0,6.0,1.0,0.0,1,0,0.0
0,174,0,0,1,affectionatepetsitters.info,0.0,39.0,27.0,1.0,6.0,1.0,0.0,0,1,0.0
0,162,0,0,1,sheratonframingham.com,0.0,34.0,22.0,1.0,6.0,1.0,0.0,1,0,0.0
0,132,0,0,1,atsugiebina.hatenablog.com,0.0,38.0,26.0,1.0,6.0,1.0,0.0,1,0,0.0
0,0,0,0,1,jasonlester.me,0.0,26.0,14.0,1.0,6.0,1.0,0.0,1,0,0.0
0,0,0,0,1,gevth.de,0.0,20.0,8.0,1.0,6.0,1.0,0.0,1,0,0.0
1,0,0,0,1,safirbetgirisadresimiz1.blogspot.com,0.0,43.0,36.0,1.0,5.0,1.0,1.0,0,1,1.0
1,37,0,0,1,lfyd.in,0.0,19.0,7.0,1.0,6.0,1.0,0.0,1,1,0.0
0,158,0,0,1,support-appleld.com.secureupdate.duilawyeryork.com,0.0,100.0,50.0,2.0,6.0,1.0,0.0,1,0,1.0
1,0,0,0,0,au-paccoy.aeeseaccaocmeoy.lrabyo.top,0.0,50.0,36.0,2.0,5.0,1.0,0.0,1,1,1.0
0,0,0,0,1,172.217.21.162,0.0,28.0,14.0,1.0,5.0,1.0,0.0,1,1,1.0
0,1,0,0,1,habitathumano.com,0.0,29.0,17.0,1.0,6.0,1.0,0.0,1,0,0.0
0,188,0,0,1,persediaan.jogjaprov.go.id,0.0,59.0,26.0,2.0,6.0,1.0,0.0,1,0,1.0
1,47,0,0,1,bakerstreetpsych.com,0.0,32.0,20.0,1.0,6.0,1.0,0.0,0,1,0.0
0,301,1,0,1,communicate.co.za,0.0,29.0,17.0,1.0,6.0,1.0,0.0,1,1,0.0
1,16,0,0,1,cajiny.com,0.0,22.0,10.0,1.0,6.0,1.0,0.0,0,1,0.0
1,131,0,0,1,jefflincolninteriorsnewyork.com,0.0,43.0,31.0,1.0,6.0,1.0,0.0,0,1,0.0
0,0,0,0,1,arthistory.ucr.edu,0.0,30.0,18.0,1.0,6.0,1.0,0.0,1,0,0.0
0,0,0,0,1,eki-net.con-aesecceso.fbuuwe.top,0.0,43.0,32.0,1.0,5.0,1.0,1.0,1,1,1.0
0,36,0,0,1,extravasatingmetalworker.com,0.0,36.0,28.0,1.0,5.0,1.0,0.0,1,1,1.0
0,13,0,0,1,bibliotecabayer.org.ar,0.0,47.0,22.0,2.0,6.0,1.0,0.0,1,1,1.0
0,62,0,0,1,blitz.coronavirus.saude.salvador.ba.gov.br,0.0,51.0,42.0,1.0,6.0,1.0,0.0,1,1,1.0
0,196,0,0,1,update-your-account-paypal.tumblr.com,0.0,46.0,37.0,1.0,6.0,1.0,0.0,1,1,1.0
0,270,0,0,1,secure.exhibit-e.com,0.0,32.0,20.0,2.0,6.0,1.0,0.0,1,0,0.0
0,0,0,0,1,au-paaey.aucsaom.bxpaxw.top,0.0,41.0,27.0,2.0,5.0,1.0,0.0,1,0,1.0
0,232,0,0,1,awakeningtherevenant.bandcamp.com,0.0,45.0,33.0,1.0,6.0,1.0,0.0,1,0,0.0
0,0,0,0,1,20200729065521.s2pe7ed9y.rj.r.appspot.com,0.0,66.0,41.0,1.0,5.0,1.0,1.0,1,1,1.0
0,0,0,0,1,tlook-off365-signin.el.r.appspot.com,0.0,55.0,36.0,1.0,6.0,1.0,1.0,1,1,1.0
0,276,0,0,1,danceclassmusic.com,0.0,31.0,19.0,1.0,6.0,1.0,0.0,1,0,0.0
0,0,0,0,1,user67509874097802.el.r.appspot.com,0.0,64.0,35.0,1.0,6.0,1.0,1.0,1,1,1.0
0,315,0,0,1,eforms.secure.haringey.gov.uk,0.0,41.0,29.0,1.0,6.0,1.0,0.0,1,0,0.0
0,128,0,20,1,mounthopemagazine.com,0.0,33.0,21.0,1.0,6.0,1.0,0.0,0,1,0.0
1,0,0,0,1,interbahisgirisadresimiz2.blogspot.com,0.0,45.0,38.0,1.0,5.0,1.0,1.0,0,1,1.0
0,158,0,0,1,secureupdate.appleld.com.duilawyeryork.com,0.0,68.0,42.0,1.0,5.0,1.0,0.0,1,0,1.0
0,0,0,0,1,au-paany.aeuceaom.ufvzxa.top,0.0,42.0,28.0,2.0,5.0,1.0,0.0,1,0,1.0
0,31,0,0,1,storageapi.fleek.co,0.0,27.0,19.0,1.0,6.0,1.0,0.0,1,1,1.0
1,183,0,0,1,kingdomtales.com,0.0,28.0,16.0,1.0,6.0,1.0,0.0,1,1,0.0
0,31,0,0,1,storageapi.fleek.co,0.0,27.0,19.0,1.0,6.0,1.0,0.0,1,1,1.0
0,31,0,0,1,storageapi.fleek.co,0.0,27.0,19.0,1.0,6.0,1.0,0.0,1,1,1.0
0,247,0,0,1,nbast.org.cn,0.0,24.0,12.0,1.0,6.0,1.0,0.0,1,0,0.0
1,224,0,0,1,summertide.org,0.0,26.0,14.0,1.0,6.0,1.0,0.0,0,1,0.0
0,52,0,0,1,gwplotter.com,0.0,25.0,13.0,1.0,6.0,1.0,0.0,1,0,0.0
1,55,0,0,1,santarms.com,0.0,100.0,12.0,2.0,6.0,1.0,0.0,0,1,1.0
0,290,0,0,1,thedrinkawaretrust-my.sharepoint.com,0.0,100.0,36.0,1.0,6.0,1.0,1.0,0,1,1.0
0,66,0,0,1,test.macmoro.com,0.0,72.0,16.0,2.0,5.0,1.0,0.0,1,1,1.0
1,0,0,0,0,au-paccy.aceeseacraocmeoy.pfrtkd.top,0.0,50.0,36.0,2.0,5.0,1.0,0.0,1,1,1.0
0,84,0,0,1,home-made-elk.smvi.co,0.0,46.0,21.0,1.0,5.0,1.0,0.0,1,0,1.0
0,169,0,0,1,aksoydanismanlik.com,0.0,47.0,20.0,1.0,5.0,1.0,0.0,1,1,1.0
0,277,0,0,1,texasnaacp.org,0.0,26.0,14.0,1.0,6.0,1.0,0.0,1,0,0.0
0,4,0,0,1,cashflowfxonline.com,0.0,71.0,20.0,2.0,5.0,1.0,0.0,1,0,1.0
1,0,0,0,1,sharetreats.ph,0.0,26.0,14.0,1.0,6.0,1.0,0.0,0,1,0.0
1,130,0,0,1,cicijames.com,0.0,25.0,13.0,1.0,6.0,1.0,0.0,0,1,0.0
0,12,0,0,1,vivceviasaivc.vicsvesai.tubatue.icu,0.0,46.0,35.0,1.0,5.0,1.0,0.0,1,1,1.0
0,111,0,0,1,norththames.com,0.0,27.0,15.0,1.0,6.0,1.0,0.0,1,0,0.0
1,44,0,0,1,telememory.co,0.0,25.0,13.0,1.0,6.0,1.0,0.0,0,1,0.0
0,0,0,0,1,irbis.pushkinlibrary.kz:8087,0.0,55.0,28.0,1.0,5.0,1.0,0.0,1,1,1.0
0,0,0,0,1,secure.captisa.com:443,0.0,82.0,22.0,1.0,6.0,1.0,0.0,0,1,1.0
0,0,0,0,1,kyokumen.jp,0.0,23.0,11.0,1.0,6.0,1.0,0.0,1,0,0.0
0,0,0,0,1,mail.flashstart.com.ar,0.0,88.0,22.0,2.0,6.0,1.0,1.0,1,0,1.0
1,59,0,20,1,electricitypak.com,0.0,52.0,18.0,1.0,5.0,1.0,0.0,0,1,1.0
1,22,0,0,1,profelectrik.ru,0.0,100.0,15.0,1.0,5.0,1.0,0.0,0,1,1.0
0,156,0,0,1,phoenixlocksmith-az.com,0.0,43.0,23.0,2.0,5.0,1.0,0.0,1,1,1.0
0,0,0,0,1,au-paaoy.aeuccaom.adzsfv.top,0.0,42.0,28.0,2.0,5.0,1.0,0.0,1,0,1.0
0,214,0,0,1,eddiedevilboy.com,0.0,29.0,17.0,1.0,6.0,1.0,0.0,1,1,0.0
0,160,0,0,1,myspelling.net,0.0,26.0,14.0,1.0,6.0,1.0,0.0,1,0,0.0
0,158,0,0,1,support-appleld.com.secureupdate.duilawyeryork.com,0.0,76.0,50.0,2.0,5.0,1.0,0.0,1,0,1.0
0,78,0,0,1,securesquared.co.uk,0.0,66.0,19.0,1.0,6.0,1.0,0.0,1,0,1.0
